"Name","Instance Count","Size (bytes)"
"CH.ifa.draw.framework.FigureChangeEvent",215,5160
"CH.ifa.draw.framework.DrawingChangeEvent",146,3504
"CH.ifa.draw.standard.ReverseFigureEnumerator",113,1808
"CH.ifa.draw.util.ReverseVectorEnumerator",113,2712
"CH.ifa.draw.standard.FigureEnumerator",85,1360
"CH.ifa.draw.standard.ChangeAttributeCommand",66,2112
"CH.ifa.draw.standard.RelativeLocator",32,1024
"CH.ifa.draw.standard.LocatorConnector",16,512
"CH.ifa.draw.util.ColorEntry",15,360
"CH.ifa.draw.util.CommandMenu",9,864
"CH.ifa.draw.figures.ArrowTip",8,320
"CH.ifa.draw.standard.ConnectionHandle",8,256
"CH.ifa.draw.standard.NullHandle",8,192
"CH.ifa.draw.standard.AlignCommand",6,144
"CH.ifa.draw.figures.FigureAttributes",5,120
"CH.ifa.draw.figures.LineConnection",4,224
"CH.ifa.draw.samples.net.NodeFigure",4,320
"CH.ifa.draw.standard.ToolButton",4,928
"CH.ifa.draw.util.PaletteIcon",4,128
"CH.ifa.draw.standard.DragTracker",2,80
"CH.ifa.draw.standard.FigureChangeEventMulticaster",2,48
"CH.ifa.draw.application.DrawApplication$1",1,16
"CH.ifa.draw.application.DrawApplication$2",1,16
"CH.ifa.draw.application.DrawApplication$3",1,16
"CH.ifa.draw.application.DrawApplication$4",1,16
"CH.ifa.draw.application.DrawApplication$5",1,16
"CH.ifa.draw.application.DrawApplication$6",1,16
"CH.ifa.draw.application.DrawApplication$7",1,16
"CH.ifa.draw.application.DrawApplication$8",1,16
"CH.ifa.draw.application.DrawApplication$9",1,16
"CH.ifa.draw.figures.GroupCommand",1,24
"CH.ifa.draw.figures.TextTool",1,48
"CH.ifa.draw.figures.UngroupCommand",1,24
"CH.ifa.draw.samples.net.NetApp",1,456
"CH.ifa.draw.standard.BringToFrontCommand",1,24
"CH.ifa.draw.standard.BufferedUpdateStrategy",1,32
"CH.ifa.draw.standard.ConnectionTool",1,56
"CH.ifa.draw.standard.CopyCommand",1,24
"CH.ifa.draw.standard.CreationTool",1,40
"CH.ifa.draw.standard.CutCommand",1,24
"CH.ifa.draw.standard.DeleteCommand",1,24
"CH.ifa.draw.standard.DuplicateCommand",1,24
"CH.ifa.draw.standard.HandleTracker",1,32
"CH.ifa.draw.standard.PasteCommand",1,24
"CH.ifa.draw.standard.SelectionTool",1,32
"CH.ifa.draw.standard.SendToBackCommand",1,24
"CH.ifa.draw.standard.StandardDrawing",1,40
"CH.ifa.draw.standard.StandardDrawingView",1,320
"CH.ifa.draw.standard.ToggleGridCommand",1,24
"CH.ifa.draw.util.ColorEntry[ ]",1,80
"CH.ifa.draw.util.Iconkit",1,24
"CH.ifa.draw.util.PaletteLayout",1,24
